case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
"The Board of Regents of the University of Texas System, the University of Texas System, and the University of Texas M.D. Anderson Cancer Center v. Gensetix, Inc. (Tex. App.-Houston [15th Dist.] 2025)",15-25-00011-CV,2025-06-09,"Texas Court of Appeals, 15th District",0,,unknown,https://www.courtlistener.com/opinion/10605154/the-board-of-regents-of-the-university-of-texas-system-the-university-of/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"Facet Technology Corp. v. TomTom International B.V., et al. (D.N.H. 2025)",24-cv-00111-PB,2025-01-28,"District Court, D. New Hampshire",0,,plaintiff_win,https://www.courtlistener.com/opinion/10695284/facet-technology-corp-v-tomtom-international-bv-et-al/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"State ex rel. Leibowitz v. Family Vision Care, LLC (Ill. App. Ct. 2019)",1-18-0697,2019-07-11,Appellate Court of Illinois,0,,settled,https://www.courtlistener.com/opinion/4638512/state-ex-rel-leibowitz-v-family-vision-care-llc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"Asia Vital Components Co., Ltd. v. Asetek Danmark A/S (N.D. Cal. 2019)",Case No. 16-cv-07160-JST,2019-03-15,"District Court, N.D. California",0,,settled,https://www.courtlistener.com/opinion/7335678/asia-vital-components-co-ltd-v-asetek-danmark-as/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"Zimmer Surgical, Inc. v. Stryker Corp. (D. Del. 2019)",Civil Action No. 16-679-RGA,2019-03-07,"District Court, D. Delaware",0,,unknown,https://www.courtlistener.com/opinion/7334674/zimmer-surgical-inc-v-stryker-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"GRABBA-LEAF, LLC v. Department of Business and Professional etc. (Fla. Dist. Ct. App. 2018)",16-4273,2018-11-06,District Court of Appeal of Florida,0,,settled,https://www.courtlistener.com/opinion/4550986/grabba-leaf-llc-v-department-of-business-and-professional-etc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"Armor All/STP Prods. Co. v. Tsi Prods., Inc. (D. Conn. 2018)",No. 3:17-cv-1131 (MPS),2018-08-30,"District Court, D. Connecticut",0,,unknown,https://www.courtlistener.com/opinion/7332384/armor-allstp-prods-co-v-tsi-prods-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"Chamberlain Grp., Inc. v. Techtronic Indus. Co. (E.D. Ill. 2018)",Case No. 16 C 6097,2018-05-23,"District Court, E.D. Illinois",1,"$8,033,942.73",unknown,https://www.courtlistener.com/opinion/8344102/chamberlain-grp-inc-v-techtronic-indus-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"Neonatal Prod. Grp., Inc. v. Shields (D. Kan. 2018)",Case No. 13–2601–DDC–KGS,2018-02-28,,0,,unknown,https://www.courtlistener.com/opinion/7330378/neonatal-prod-grp-inc-v-shields/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
Arctic Cat Inc. v. Bombardier Recreational Products Inc. (Fed. Cir. 2017),2017-1475,2017-12-07,,0,,unknown,https://www.courtlistener.com/opinion/4449320/arctic-cat-inc-v-bombardier-recreational-products-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
