case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
Maquet Cardiovascular LLC v. Abiomed Inc. (Fed. Cir. 2025),23-2045,2025-03-21,Court of Appeals for the Federal Circuit,0,,0.0,https://www.courtlistener.com/opinion/10360838/maquet-cardiovascular-llc-v-abiomed-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"Actavis Laboratories Fl, Inc. v. United States (Fed. Cir. 2025)",23-1320,2025-03-21,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10360911/actavis-laboratories-fl-inc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"Siluria (Assignment for the Benefit of Creditors), LLC v. Lummus Technology LLC (Tex. App.-Beaumont 2025)",09-23-00127-CV,2025-03-20,"Texas Court of Appeals, 9th District (Beaumont)",1,"$1,495,493.10",1.0,https://www.courtlistener.com/opinion/10360753/siluria-assignment-for-the-benefit-of-creditors-llc-v-lummus-technology/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"McKenzie County, ND v. United States (8th Cir. 2025)",24-1177,2025-03-20,Court of Appeals for the Eighth Circuit,0,,0.0,https://www.courtlistener.com/opinion/10360452/mckenzie-county-nd-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
Twardy v. Ocwen Financial Corporation (D.D.C. 2025),Civil Action No. 2024-1200,2025-03-19,"District Court, District of Columbia",0,,,https://www.courtlistener.com/opinion/10358300/twardy-v-ocwen-financial-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"CBHIV LLC, and Sugar Dunes Owners Association, Inc. v. Walton County, Florida, a Political Subdivision of the State of Florida, And (Fla. Dist. Ct. App. 2025)",1D2022-1996,2025-03-19,District Court of Appeal of Florida,0,,1.0,https://www.courtlistener.com/opinion/10357911/cbhiv-llc-and-sugar-dunes-owners-association-inc-v-walton-county/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"Regeneron Pharmaceuticals, Inc. v. Mylan Pharmaceuticals Inc. (Fed. Cir. 2025)",24-2351,2025-03-14,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10356518/regeneron-pharmaceuticals-inc-v-mylan-pharmaceuticals-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"Merck Sharp & Dohme B v. v. Aurobindo Pharma USA, Inc. (Fed. Cir. 2025)",23-2254,2025-03-13,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10356112/merck-sharp-dohme-b-v-v-aurobindo-pharma-usa-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"In Re XENCOR, INC. (Fed. Cir. 2025)",24-1870,2025-03-13,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10356071/in-re-xencor-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"Iqris Technologies LLC v. Point Blank Enterprises, Inc. (Fed. Cir. 2025)",23-2062,2025-03-07,Court of Appeals for the Federal Circuit,0,,0.0,https://www.courtlistener.com/opinion/10352048/iqris-technologies-llc-v-point-blank-enterprises-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
Sunrez Corporation v. United States (Fed. Cl. 2025),21-568,2025-03-07,United States Court of Federal Claims,0,,,https://www.courtlistener.com/opinion/10352145/sunrez-corporation-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
"Alivecor, Inc. v. Apple Inc. (Fed. Cir. 2025)",23-1512,2025-03-07,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10352050/alivecor-inc-v-apple-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=12
